Action,Cluster IDs,Reason,Phase
DISCARD,160,Event count is too low for individual clusters at end of hierarchical merging.,Phase0
DISCARD,172,Event count is too low for individual clusters at end of hierarchical merging.,Phase0
DISCARD,179,Event count is too low for individual clusters at end of hierarchical merging.,Phase0
DISCARD,183,Event count is too low for individual clusters at end of hierarchical merging.,Phase0
DISCARD,188,Event count is too low for individual clusters at end of hierarchical merging.,Phase0
DISCARD,191,Event count is too low for individual clusters at end of hierarchical merging.,Phase0
DISCARD,192,Event count is too low for individual clusters at end of hierarchical merging.,Phase0
DISCARD,193,Event count is too low for individual clusters at end of hierarchical merging.,Phase0
DISCARD,194,Event count is too low for individual clusters at end of hierarchical merging.,Phase0
DISCARD,198,Event count is too low for individual clusters at end of hierarchical merging.,Phase0
DISCARD,199,Event count is too low for individual clusters at end of hierarchical merging.,Phase0
SPLIT,1,"VLM: The waveform overlay shows a generally neuronal, biphasic shape, but there is substantial vertical spread and some variability, likely due to the large number of overclusters. The ISI histogram shows a very high refractory period violation rate (16.06%), strongly suggesting the presence of multiple units. The aggregation tree confirms high complexity with many subclusters. Splitting is needed to isolate cleaner single units. | last-merge split",Phase1_Iter1
SPLIT,1,"VLM: The waveform overlay shows a generally neuronal, biphasic shape, but there is substantial vertical spread and some variability, likely due to the aggregation of many subclusters. The ISI histogram shows a very high violation rate (15.97%), strongly suggesting the presence of multiple units. The hierarchical tree confirms the cluster is composed of many overclusters, supporting the need for splitting. | last-merge split",Phase1_Iter2
SPLIT,1,"VLM: The waveform overlay shows a generally neuronal, biphasic shape, but there is substantial vertical spread and some variability, likely due to the aggregation of many subclusters. The ISI histogram shows a high violation rate (9.47%), indicating likely contamination by multiple units. The hierarchical tree confirms complex aggregation. Splitting is needed to isolate cleaner single units. | last-merge split",Phase1_Iter3
SPLIT,1,"VLM: The waveform overlay shows a valid neuronal shape: a clean, sharp biphasic spike with stable baseline and no extra phases. However, the ISI histogram reveals a high refractory period violation rate (8.83%), indicating likely contamination by multiple units. The large number of overclusters and the complex hierarchical tree further support the need to split this cluster into tighter subgroups. | last-merge split",Phase1_Iter4
SPLIT,1,"VLM: The waveform overlay shows a generally neuronal, biphasic shape, but there is substantial vertical spread and some variability, likely due to the aggregation of many subclusters. The ISI histogram shows a high violation rate (8.61%), indicating likely contamination by multiple units. The complex hierarchical tree (118 overclusters) further supports the need to split this cluster into tighter subgroups. | last-merge split",Phase1_Iter5
SPLIT,1,"VLM: The waveform overlay shows a valid neuronal shape (biphasic, sharp trough, smooth return to baseline), but the ISI histogram reveals a high violation rate (8.31%) and a large number of short ISIs, suggesting multiple units are present. The aggregation tree also shows complex substructure, indicating the cluster likely contains more than one neuron and should be split. | last-merge split",Phase1_Iter6
SPLIT,1,"VLM: The waveform overlay shows a generally neuronal, biphasic shape, but there is substantial vertical spread and some variability, likely reflecting multiple units. The ISI histogram shows a high violation rate (8.23%), indicating significant refractory period violations and suggesting the presence of more than one neuron. The aggregation tree also shows a complex structure with many subclusters, supporting the need for splitting. | last-merge split",Phase1_Iter7
SPLIT,1,"VLM: The waveform overlay shows a generally neuronal, biphasic shape, but there is substantial vertical spread and some variability, suggesting multiple waveform families. The ISI histogram shows a high violation rate (8.06%), indicating likely contamination by multiple units. The aggregation tree confirms the presence of many subclusters, supporting the need for splitting. | last-merge split",Phase1_Iter8
SPLIT,1,"VLM: The waveform overlay shows a generally neuronal, biphasic shape, but there is substantial vertical spread and variability, suggesting multiple waveform families. The ISI histogram shows a high violation rate (7.73%), indicating likely multi-unit contamination. The aggregation tree confirms the presence of many subclusters, supporting the need for splitting. | last-merge split",Phase1_Iter9
SPLIT,1,"VLM: The waveform overlay shows a generally neuronal, biphasic shape, but there is substantial vertical spread and variability, suggesting multiple waveform families. The ISI histogram shows a high violation rate (7.33%), indicating likely contamination by multiple units. The aggregation tree also shows a complex structure with many overclusters, supporting the need for splitting. | last-merge split",Phase1_Iter10
SPLIT,1,"VLM: The waveform overlay shows a generally neuronal, biphasic shape, but there is substantial vertical spread and some variability, suggesting multiple waveform families. The ISI histogram shows a high violation rate (4.52%), indicating likely contamination or multiple units. The aggregation tree confirms the presence of many subclusters, supporting the need for splitting. | last-merge split",Phase1_Iter11
SPLIT,1,"VLM: The waveform overlay shows a generally neuronal, biphasic shape, but there is substantial vertical spread and some variability, likely due to the aggregation of many overclusters. The ISI histogram shows a high violation rate (2.79%), suggesting contamination or multiple units. The complex hierarchical tree further supports the presence of multiple subgroups. Splitting is recommended to isolate cleaner single units. | last-merge split",Phase1_Iter12
SPLIT,1,"VLM: The waveform overlay shows a valid neuronal shape (biphasic, sharp trough, smooth return to baseline), but there is substantial vertical spread, suggesting multiple waveform families. The ISI histogram shows a high violation rate (2.73%), indicating likely multi-unit contamination. The aggregation tree also shows a complex structure with many overclusters, supporting the need for splitting. | last-merge split",Phase1_Iter13
SPLIT,1,"VLM: The waveform overlay shows a valid neuronal shape (biphasic, sharp trough, smooth return to baseline), but there is substantial vertical spread, suggesting multiple waveform families. The ISI histogram shows a moderate refractory period violation (2.69%), and the aggregation tree indicates a complex structure with many overclusters. These features together suggest the presence of multiple units, so splitting is warranted. | last-merge split",Phase1_Iter14
SPLIT,1,"VLM: The waveform overlay shows a valid neuronal shape (biphasic, sharp trough, smooth return to baseline), but there is substantial vertical spread, suggesting multiple waveform families. The ISI histogram shows a high violation rate (2.69%), indicating likely multi-unit contamination. The aggregation tree also shows complex substructure, supporting the need to split this cluster into tighter subgroups. | last-merge split",Phase1_Iter15
KEEP,1,"VLM: The waveform overlay shows a clean, biphasic neuronal shape with a sharp negative trough and smooth return to baseline, and no extra phases or irregularities. The ISI histogram has a low violation rate (0.35%) and no evidence of multiple units. Although the cluster is composed of 24 overclusters, there is no sign of high waveform variability or temporal drift, so the cluster should be kept as is.",Phase1_Iter16
SPLIT,5,"VLM: The waveform overlay shows a generally neuronal, biphasic shape with a sharp negative trough and smooth return to baseline, but there is substantial vertical spread, suggesting multiple waveform families. The ISI histogram shows a moderate violation rate (1.57%), which is above the ideal threshold and may indicate multi-unit activity. The aggregation tree also shows a complex structure with many overclusters, supporting the need for further splitting. | last-merge split",Phase1_Iter16
SPLIT,5,"VLM: The waveform overlay shows a generally neuronal, biphasic shape with a sharp negative trough and smooth return to baseline, but there is substantial vertical spread, suggesting multiple waveform families or temporal drift. The ISI histogram shows a moderate violation rate (1.48%), which is above the ideal threshold and may indicate multi-unit activity. The aggregation tree also shows a complex structure with many overclusters, supporting the need for further splitting. | last-merge split",Phase1_Iter17
SPLIT,5,"VLM: The waveform overlay shows a generally neuronal, biphasic shape with a sharp negative trough and smooth return to baseline, but there is substantial vertical spread and some variability, suggesting multiple waveform families. The ISI histogram shows a high violation rate (1.33%), indicating likely multi-unit contamination. The aggregation tree confirms the presence of many subclusters, supporting the need for splitting. | last-merge split",Phase1_Iter18
KEEP,5,"VLM: The waveform overlay shows a clean, biphasic neuronal shape with a sharp negative trough and smooth return to baseline, meeting all neuronal criteria. While there is some vertical spread, it is moderate and expected for a large cluster. The ISI histogram shows a low violation rate (1.02%) and no clear evidence of multiple units, and the aggregation tree does not indicate strong subcluster separation. No split is needed.",Phase1_Iter19
KEEP,24,"VLM: The waveform overlay shows a clean, biphasic neuronal shape with a sharp negative trough and smooth return to baseline, without extra phases or irregularities. The ISI histogram has a low violation rate (0.50%) and does not suggest multiple units. Although the cluster is composed of 4 overclusters, there is no evidence of high waveform variability or temporal drift, so the cluster should be kept as is.",Phase1_Iter19
