Action,Cluster IDs,Reason,Phase
DISCARD,161,Event count is too low for individual clusters at end of hierarchical merging.,Phase0
DISCARD,311,Event count is too low for individual clusters at end of hierarchical merging.,Phase0
DISCARD,317,Event count is too low for individual clusters at end of hierarchical merging.,Phase0
DISCARD,321,Event count is too low for individual clusters at end of hierarchical merging.,Phase0
DISCARD,322,Event count is too low for individual clusters at end of hierarchical merging.,Phase0
DISCARD,324,Event count is too low for individual clusters at end of hierarchical merging.,Phase0
DISCARD,334,Event count is too low for individual clusters at end of hierarchical merging.,Phase0
DISCARD,339,Event count is too low for individual clusters at end of hierarchical merging.,Phase0
DISCARD,340,Event count is too low for individual clusters at end of hierarchical merging.,Phase0
DISCARD,342,Event count is too low for individual clusters at end of hierarchical merging.,Phase0
DISCARD,347,Event count is too low for individual clusters at end of hierarchical merging.,Phase0
DISCARD,350,Event count is too low for individual clusters at end of hierarchical merging.,Phase0
DISCARD,355,Event count is too low for individual clusters at end of hierarchical merging.,Phase0
SPLIT,1,"VLM: The waveform overlay shows a generally neuronal, biphasic shape, but there is substantial vertical spread and some variability, likely reflecting multiple waveform families. The ISI histogram shows a very high violation rate (17.39%), strongly suggesting contamination by multiple units. The aggregation tree confirms the presence of many subclusters, supporting the need for splitting. | last-merge split",Phase1_Iter1
SPLIT,1,"VLM: The waveform overlay shows a generally neuronal, biphasic shape, but there is substantial vertical spread and some variability, likely due to the aggregation of many overclusters. The ISI histogram shows a high violation rate (12.28%), indicating multiple units are present. The hierarchical tree confirms complex aggregation, supporting the need to split this cluster into tighter subgroups. | last-merge split",Phase1_Iter2
SPLIT,1,"VLM: The waveform overlay shows a generally neuronal, biphasic shape, but there is substantial vertical spread and some variability, suggesting multiple waveform families. The ISI histogram shows a high violation rate (11.73%), indicating likely contamination by multiple units. The aggregation tree confirms the presence of many subclusters, supporting the need for splitting. | last-merge split",Phase1_Iter3
SPLIT,1,"VLM: The waveform overlay shows a valid neuronal shape (biphasic, sharp trough, smooth return to baseline), but there is substantial vertical spread, suggesting multiple waveform families. The ISI histogram shows a high violation rate (11.59%), indicating likely multi-unit contamination. The aggregation tree is complex, with 101 overclusters, supporting the need for further splitting. | last-merge split",Phase1_Iter4
SPLIT,1,"VLM: The waveform overlay shows a generally neuronal, biphasic shape, but there is substantial vertical spread and some variability, suggesting multiple waveform families. The ISI histogram shows a high violation rate (11.54%), indicating likely contamination by multiple units. The hierarchical tree also shows complex aggregation from many overclusters, supporting the need for splitting. | last-merge split",Phase1_Iter5
