curated_id,matched_gt_id,agreement,n_curated_spikes,n_gt_spikes,tp,fp,fn,precision,recall,f1_score
1,1.0,0.10410880458124552,69850,7272,7272,62578,0,0.10410880458124552,1.0,0.18858432094603356
13,,0.0,18065,0,0,18065,0,0.0,0.0,0.0
63,63.0,1.0,38899,38899,38899,0,0,1.0,1.0,1.0
161,,0.0,365,0,0,365,0,0.0,0.0,0.0
242,,0.0,3146,0,0,3146,0,0.0,0.0,0.0
311,,0.0,345,0,0,345,0,0.0,0.0,0.0
317,,0.0,118,0,0,118,0,0.0,0.0,0.0
321,,0.0,341,0,0,341,0,0.0,0.0,0.0
322,,0.0,290,0,0,290,0,0.0,0.0,0.0
324,,0.0,143,0,0,143,0,0.0,0.0,0.0
334,,0.0,279,0,0,279,0,0.0,0.0,0.0
339,,0.0,153,0,0,153,0,0.0,0.0,0.0
340,,0.0,83,0,0,83,0,0.0,0.0,0.0
342,,0.0,267,0,0,267,0,0.0,0.0,0.0
347,,0.0,139,0,0,139,0,0.0,0.0,0.0
350,,0.0,70,0,0,70,0,0.0,0.0,0.0
355,,0.0,54,0,0,54,0,0.0,0.0,0.0
