cluster_id,n_spikes,firing_rate,isi_violations_rate,isi_violations_count,presence_ratio,amplitude_median,amplitude_cv,amplitude_cutoff,snr
1,69850,23.710824481886235,0.17388938996979197,12146,1.0,87.2513503279966,0.2863697628318925,0.32913385826771635,3.2255742762492927
13,0,0.0,0.0,0,0.0,152.91007804271226,0.15334480045641774,0.4427899252698583,6.538794430840293
63,0,0.0,0.0,0,0.0,193.1066597643602,0.10129611830036445,0.5433044551273812,13.69880314286362
161,0,0.0,0.0,0,0.0,158.3140750610146,0.11643166242530706,0.5616438356164383,13.23465785772655
242,0,0.0,0.0,0,0.0,152.98809096021117,0.2900708393704025,0.45486331849968187,3.4317296610078265
311,0,0.0,0.0,0,0.0,174.44831801985245,0.19970669546950173,0.16231884057970988,6.879697805893943
317,0,0.0,0.0,0,0.0,183.26524273416317,0.12862811349013897,0.398305084745763,9.097930824071023
321,0,0.0,0.0,0,0.0,228.69121529993237,0.17206616160351842,0.263929618768329,7.592295537273704
322,0,0.0,0.0,0,0.0,186.54968913296756,0.12594198744068635,0.4482758620689664,5.065096159933617
324,0,0.0,0.0,0,0.0,266.34420485058024,0.15956306022044914,0.5944055944055942,8.830050376148154
334,0,0.0,0.0,0,0.0,180.532026522952,0.19231021365815065,0.2401433691756271,5.142671342092732
339,0,0.0,0.0,0,0.0,170.93377546528188,0.1501151557838509,0.35947712418300565,8.265544732693193
340,0,0.0,0.0,0,0.0,182.60016503604288,0.10344127072349402,0.3253012048192718,11.836181623245423
342,0,0.0,0.0,0,0.0,225.28457211561027,0.17595755494582216,0.08988764044943823,9.811815052589738
347,0,0.0,0.0,0,0.0,242.57560459804984,0.1546384421189943,0.381294964028776,8.816234174687732
350,0,0.0,0.0,0,0.0,249.73798467172657,0.14883839960990639,0.11428571428571593,9.607083120568399
355,0,0.0,0.0,0,0.0,238.62779998892984,0.13476004496989188,0.8148148148148081,9.714127353557005
