Action,Cluster IDs,Reason,Phase
DISCARD,160,Event count is too low for individual clusters at end of hierarchical merging.,Phase0
DISCARD,172,Event count is too low for individual clusters at end of hierarchical merging.,Phase0
DISCARD,179,Event count is too low for individual clusters at end of hierarchical merging.,Phase0
DISCARD,183,Event count is too low for individual clusters at end of hierarchical merging.,Phase0
DISCARD,188,Event count is too low for individual clusters at end of hierarchical merging.,Phase0
DISCARD,191,Event count is too low for individual clusters at end of hierarchical merging.,Phase0
DISCARD,192,Event count is too low for individual clusters at end of hierarchical merging.,Phase0
DISCARD,193,Event count is too low for individual clusters at end of hierarchical merging.,Phase0
DISCARD,194,Event count is too low for individual clusters at end of hierarchical merging.,Phase0
DISCARD,198,Event count is too low for individual clusters at end of hierarchical merging.,Phase0
DISCARD,199,Event count is too low for individual clusters at end of hierarchical merging.,Phase0
SPLIT,1,"VLM: Waveforms show a clear, sharp negative trough with smooth biphasic return, consistent with a valid neuronal extracellular spike shape. However, the ISI histogram shows a high refractory violation rate (~16%) and the cluster is composed of many overclusters (184), indicating multiple units have been merged and should be separated into tighter subclusters. | last-merge split",Phase1_Iter1
SPLIT,1,"VLM: Waveforms show a clean, consistent biphasic extracellular spike shape with stable baseline, indicating neuronal activity. However, the ISI histogram has a large fraction of refractory violations (~16%) and the cluster comprises many overclusters, suggesting multiple units are mixed and should be separated into tighter subclusters. | last-merge split",Phase1_Iter2
SPLIT,1,"VLM: Waveform morphology is clearly neuronal, with a sharp negative trough and smooth return to baseline, without extra phases or baseline drift. However, the cluster is very large with many overclusters and shows a high rate of refractory period violations (~9.5%), indicating that multiple units are likely mixed and should be separated. | last-merge split",Phase1_Iter3
SPLIT,1,"VLM: Waveforms show a consistent fast negative trough with smooth return to baseline, matching a valid neuronal extracellular spike shape. However, the very high spike count, large number of overclusters, and substantial ISI violations (~8.8% under 2 ms) strongly suggest the presence of multiple units within this cluster. Therefore this neuronal cluster should be split into tighter subclusters rather than kept as a single unit. | last-merge split",Phase1_Iter4
SPLIT,1,"VLM: The waveform overlay shows a consistent, sharp biphasic spike with a clear negative trough and smooth repolarization, indicating neuronal morphology. However, the ISI histogram shows a high refractory violation rate (~8.6%) and the cluster is composed of many overclusters (118), suggesting that multiple units are aggregated and should be split into tighter subclusters. | last-merge split",Phase1_Iter5
SPLIT,1,"VLM: The overlaid waveforms show a consistent, sharp negative trough with smooth return toward baseline, consistent with a valid extracellular neuronal spike shape. However, the ISI histogram shows a high refractory violation rate (~8%) and the cluster is composed of many overclusters (115), indicating that multiple units are likely merged and should be split into tighter subclusters. | last-merge split",Phase1_Iter6
SPLIT,1,"VLM: The average waveform shows a clear, sharp negative trough with smooth return, consistent with a valid extracellular neuronal spike shape. However, the cluster is very large with many overclusters (114) and exhibits substantial refractory violations (8.23% <2 ms), indicating that multiple units are likely mixed and should be separated into tighter subclusters. | last-merge split",Phase1_Iter7
SPLIT,1,"VLM: Waveforms show a consistent, sharp negative trough with smooth repolarization, matching a valid extracellular neuronal spike shape. However, the cluster is very large with many overclusters and exhibits a high refractory-period violation rate (~8%), indicating that multiple units are likely merged and should be split into tighter subclusters. | last-merge split",Phase1_Iter8
SPLIT,1,"VLM: Waveforms show a consistent, sharp negative-going trough with smooth return to baseline, compatible with a neuronal extracellular spike shape. However, the ISI histogram has a high refractory violation rate (~7.7%) and the cluster is composed of many overclusters (109), indicating multiple units or substantial contamination, so it should be split into tighter subclusters. | last-merge split",Phase1_Iter9
SPLIT,1,"VLM: Waveforms show a consistent, sharp negative-going spike with smooth repolarization and no extra phases, indicating a valid neuronal morphology. However, the ISI histogram shows substantial refractory violations (~7.3%) and the cluster is composed of many overclusters (105), suggesting multiple units or strong contamination. This cluster should be split into tighter subclusters to isolate cleaner single units. | last-merge split",Phase1_Iter10
SPLIT,1,"VLM: Waveforms show a clear, sharp negative trough with smooth return toward baseline, consistent with a valid biphasic/triphasic neuronal extracellular spike. However, the cluster is large, built from many overclusters, and the ISI histogram shows a high refractory-period violation rate (~4.5%), suggesting multiple units or contamination that should be separated into tighter subclusters. | last-merge split",Phase1_Iter11
SPLIT,1,"VLM: Waveform morphology is clearly neuronal with a sharp negative trough and smooth return to baseline, without extra phases. However, the ISI histogram shows substantial refractory violations (~2.8%) and the large spike count with 58 overclusters suggests multiple units are merged. The cluster should be split to isolate tighter, more refractory-respecting subclusters. | last-merge split",Phase1_Iter12
SPLIT,1,"VLM: The waveform morphology is clearly neuronal, with a sharp negative trough and smooth return to baseline, and no obvious non-spike artifacts. However, the cluster has high ISI refractory violations (~2.7%) and is composed of many overclusters, suggesting multiple units or mixing that should be separated. Splitting along tighter subclusters is warranted to isolate cleaner single units. | last-merge split",Phase1_Iter13
SPLIT,1,"VLM: Waveforms show a clear, sharp biphasic extracellular spike with stable baseline, so the cluster is neuronal. However, the ISI histogram has a substantial refractory period violation rate (~2.7%) and the cluster aggregates 55 overclusters, suggesting multiple units are merged and should be separated into tighter subclusters. | last-merge split",Phase1_Iter14
SPLIT,1,"VLM: Waveforms show a consistent, sharp negative trough followed by a smooth positive phase with stable baseline, consistent with a valid extracellular neuronal spike shape. However, the refractory period violations are relatively high (~2.7%) and the cluster is large with many overclusters, suggesting that multiple units are likely mixed and should be separated into tighter subclusters. | last-merge split",Phase1_Iter15
KEEP,1,"VLM: The waveforms show a clear, sharp biphasic extracellular spike with a rapid negative trough and smooth repolarization back toward baseline, consistent with a neuronal unit. Waveform variability appears continuous rather than forming distinct shape families, and the ISI histogram shows a low refractory violation rate (~0.35%), indicating a clean single-unit cluster that does not warrant further splitting.",Phase1_Iter16
DISCARD,5,"VLM: The average waveform is effectively monophasic, showing a single sharp negative trough and return to baseline without a clear initial or post-trough positive phase, which violates the required biphasic/triphasic extracellular spike morphology. Although the ISI violations are modest, the non-neuronal waveform shape means this cluster should not be kept as a single unit.",Phase1_Iter16
KEEP,31,"VLM: Waveforms show a clear, sharp negative trough with smooth biphasic/triphasic morphology and stable baseline, consistent with a valid extracellular spike. The variability looks like normal amplitude spread rather than distinct waveform families or drift. The ISI histogram is clean with very low refractory violations (~0.16%), indicating a single well-isolated unit.",Phase1_Iter15
KEEP,32,"VLM: Waveforms show a clean, biphasic extracellular spike with a sharp negative trough and smooth return to baseline, consistent with a single neuronal unit. Variability is modest without distinct sub-families, and the ISI histogram has very low refractory violations (~0.14%), indicating little evidence for multiple units or contamination.",Phase1_Iter14
KEEP,77,"VLM: Waveforms show a clear, consistent biphasic extracellular spike with stable baseline and no extra phases, indicating neuronal shape. ISI violations are very low (~0.11%) with no evidence of multiple units or strong substructure, so no splitting is needed.",Phase1_Iter13
DISCARD,38,"VLM: The waveform overlay shows a large, sustained positive offset at the beginning and end of the snippet, with the spike appearing as a negative dip superimposed on this plateau rather than around a near-zero baseline. This violates the baseline stability criterion for a standard extracellular action potential, so the cluster is not classified as having a valid neuronal spike shape.",Phase1_Iter12
SPLIT,54,"VLM: Waveforms show a consistent sharp negative trough with smooth repolarization, indicating neuronal morphology despite some baseline offset and vertical spread. However, the ISI histogram shows a high refractory violation rate (~5.66%), suggesting contamination or multiple units, and the cluster is composed of many overclusters (25), indicating potential substructure. Therefore, this cluster should be split into tighter subgroups. | last-merge split",Phase1_Iter11
DISCARD,54,"VLM: The waveform is not a standard extracellular spike: it shows a very broad, slow U-shaped negative deflection with long positive trends rather than a sharp biphasic/triphasic spike, and it does not return cleanly to baseline. This morphology suggests non-neuronal or contaminated activity, so the cluster should be discarded rather than split or kept.",Phase1_Iter12
KEEP,118,"VLM: Waveforms show a consistent, sharp biphasic/triphasic extracellular spike shape with stable baseline and no extra phases, indicating a clear neuronal morphology. Variability across waveforms is modest without evidence of multiple waveform families, and the ISI histogram shows very low refractory violations (~0.17%), so no further splitting is warranted.",Phase1_Iter12
