Action,Cluster IDs,Reason,Phase
DISCARD,344,Event count is too low for individual clusters at end of hierarchical merging.,Phase0
DISCARD,355,Event count is too low for individual clusters at end of hierarchical merging.,Phase0
DISCARD,365,Event count is too low for individual clusters at end of hierarchical merging.,Phase0
DISCARD,397,Event count is too low for individual clusters at end of hierarchical merging.,Phase0
DISCARD,414,Event count is too low for individual clusters at end of hierarchical merging.,Phase0
DISCARD,456,Event count is too low for individual clusters at end of hierarchical merging.,Phase0
DISCARD,461,Event count is too low for individual clusters at end of hierarchical merging.,Phase0
DISCARD,463,Event count is too low for individual clusters at end of hierarchical merging.,Phase0
DISCARD,475,Event count is too low for individual clusters at end of hierarchical merging.,Phase0
DISCARD,476,Event count is too low for individual clusters at end of hierarchical merging.,Phase0
DISCARD,478,Event count is too low for individual clusters at end of hierarchical merging.,Phase0
DISCARD,1,"VLM: The overlaid waveforms do not show a clean biphasic or triphasic extracellular spike with stable baseline; instead they are broad, lack a sharp trough, and exhibit large amplitude offsets across the entire window. Because the neuronal shape criteria are violated, the cluster is not considered neuronal and should be discarded.",Phase1_Iter1
KEEP,31,"VLM: Waveforms show a clean, consistent biphasic extracellular spike with sharp negative trough and smooth repolarization, meeting neuronal shape criteria. The ISI histogram has a very low refractory violation rate (0.03%) and no clear multimodal structure, and waveform variability across overclusters appears mainly in amplitude, not shape, so there is no strong evidence for multiple units requiring a split.",Phase1_Iter1
DISCARD,211,"VLM: The average waveform is broad and largely monophasic, lacking a clear biphasic/triphasic spike with a sharp negative trough and smooth return to baseline. Baseline is not stable before and after the event, remaining substantially offset from zero, which violates the neuronal shape criteria. Therefore this cluster is not considered to reflect clean extracellular action potentials.",Phase1_Iter1
DISCARD,305,"VLM: The waveforms are broadly monophasic/very weakly biphasic with a long, smooth positive deflection and only a shallow, wide negative dip, lacking a sharp extracellular spike trough. Baseline is clearly offset from zero before and after the event, indicating poor baseline stability rather than a clean action potential. Because the neuronal shape criteria are not met, this cluster is discarded regardless of ISI structure.",Phase1_Iter1
DISCARD,353,"VLM: The waveform shape is not cleanly neuronal: it shows a large initial positive lobe followed by a negative trough and then a prolonged secondary positive hump, giving more than the allowed biphasic/triphasic morphology. The repolarization does not smoothly return to baseline, and the end of the waveform remains markedly offset from zero, violating baseline stability criteria. Because the neuronal shape check fails, this cluster should be discarded regardless of ISI statistics.",Phase1_Iter1
SPLIT,413,"VLM: Waveforms show a clean, consistent biphasic extracellular spike shape, so the cluster is neuronal. However, the ISI violations are relatively high (2.49% <2 ms), suggesting contamination or multiple units, and the cluster is composed of several overclusters. Given the refractory violations and underlying substructure, this cluster should be split to isolate tighter subgroups. | last-merge split",Phase1_Iter1
DISCARD,413,"VLM: The waveform shape is not neuronal: it shows a broad, slow U-shaped deflection with large baseline offsets at both start and end, rather than a sharp biphasic or triphasic spike with a quick return to baseline. The negative trough is wide and not well defined, and the repolarization is slow and extended, violating the required extracellular action potential morphology.",Phase1_Iter2
KEEP,455,"VLM: Waveforms show a clean, predominantly triphasic extracellular spike with a sharp negative trough and smooth repolarization, satisfying neuronal shape criteria. Although there is some amplitude variability, the waveform family is coherent, the ISI histogram shows 0% refractory violations without clear multimodality, and the two overclusters do not suggest strong substructure requiring a split.",Phase1_Iter2
KEEP,443,"VLM: Waveforms show a consistent, clean extracellular spike morphology with a sharp negative trough and smooth triphasic return, without extra phases or irregular bumps, indicating a neuronal shape. The overlaid waveforms form a single tight family, and the ISI histogram has low refractory violations (~1%) with no clear multimodal structure, so there is no strong evidence for multiple units or drift requiring a split.",Phase1_Iter1
DISCARD,455,"VLM: Cluster 455 waveforms show a broad, prolonged positive component that does not return cleanly to baseline, with an extended afterpotential and baseline offset, violating the required clean biphasic/triphasic neuronal shape. Although the ISI is acceptable, the waveform morphology is inconsistent with a valid extracellular spike, so the small cluster itself should be discarded rather than merged.",Phase2
DISCARD,443,"VLM: Cluster 443 waveforms are not clean neuronal spikes: they show a broad, slow positive deflection after the negative trough and fail to return to baseline within the window, indicating unstable baseline and non-physiologic morphology. Because the small cluster itself is invalid, it should be discarded rather than considered for merging.",Phase2
