Action,Cluster IDs,Reason,Phase
DISCARD,344,Event count is too low for individual clusters at end of hierarchical merging.,Phase0
DISCARD,355,Event count is too low for individual clusters at end of hierarchical merging.,Phase0
DISCARD,365,Event count is too low for individual clusters at end of hierarchical merging.,Phase0
DISCARD,397,Event count is too low for individual clusters at end of hierarchical merging.,Phase0
DISCARD,414,Event count is too low for individual clusters at end of hierarchical merging.,Phase0
DISCARD,456,Event count is too low for individual clusters at end of hierarchical merging.,Phase0
DISCARD,461,Event count is too low for individual clusters at end of hierarchical merging.,Phase0
DISCARD,463,Event count is too low for individual clusters at end of hierarchical merging.,Phase0
DISCARD,475,Event count is too low for individual clusters at end of hierarchical merging.,Phase0
DISCARD,476,Event count is too low for individual clusters at end of hierarchical merging.,Phase0
DISCARD,478,Event count is too low for individual clusters at end of hierarchical merging.,Phase0
DISCARD,1,"VLM: The waveform overlay shows a large DC offset with the spike riding on a strongly positive baseline rather than being centered near zero, and the shape is effectively a broad monophasic negative deflection without a clear biphasic/triphasic spike morphology. This violates the required extracellular action potential shape criteria, so the cluster is classified as non-neuronal and should be discarded.",Phase1_Iter1
KEEP,31,"VLM: Waveforms show a consistent, sharp biphasic/triphasic neuronal spike shape with stable baseline and no extra phases or noise-like morphology. The ISI histogram has a clear refractory period with very low violations (0.03%), and despite many overclusters in the tree, there is no strong evidence of multiple distinct waveform families requiring a split.",Phase1_Iter1
DISCARD,211,"VLM: Waveforms are dominated by a broad, monophasic negative deflection with no clear biphasic or triphasic structure and a slow, U-shaped return, inconsistent with a standard extracellular spike. Baseline appears offset and the morphology suggests non-neuronal activity rather than discrete action potentials.",Phase1_Iter1
SPLIT,305,"VLM: Waveforms show a consistent, clearly biphasic neuronal shape with stable baseline, indicating valid spikes. However, the ISI histogram shows a high fraction of spikes within the 2 ms refractory period (~8.4%), suggesting contamination or multiple units, and the aggregation tree has many overclusters that could be separated into cleaner subclusters. | last-merge split",Phase1_Iter1
SPLIT,305,"VLM: Waveforms show a consistent, smooth biphasic extracellular spike shape with stable baseline, indicating a clear neuronal signal. However, the ISI histogram has substantial refractory period violations (~7.6% < 2 ms), suggesting contamination by multiple units. The relatively complex hierarchical tree with many overclusters supports further splitting to isolate cleaner subunits. | last-merge split",Phase1_Iter2
DISCARD,305,"VLM: The waveform overlay shows a large DC offset, with the trace centered far above zero at both the beginning and end of the window, indicating poor baseline stability. The overall morphology resembles a broad, slow oscillation rather than a clean biphasic or triphasic extracellular spike, so it does not meet neuronal shape criteria.",Phase1_Iter3
SPLIT,331,"VLM: Waveforms show a consistent, sharp biphasic/triphasic extracellular spike shape with stable baseline, indicating a neuronal unit. However, the ISI histogram shows substantial refractory violations (~5.3% < 2 ms), suggesting multiple units are combined, and the aggregation tree has many overclusters that could correspond to distinct subunits. Therefore, this cluster should be split into tighter subclusters. | last-merge split",Phase1_Iter3
SPLIT,331,"VLM: Waveforms show a consistent, smooth biphasic extracellular spike shape with stable baseline, indicating a neuronal cluster. However, the ISI histogram shows substantial refractory period violations (~5% with many ISIs < 2 ms), and the aggregation tree is relatively complex, suggesting multiple units are merged and the cluster should be split. | last-merge split",Phase1_Iter4
DISCARD,331,"VLM: The waveform is very broad and sinusoidal with two large smooth humps and a shallow central trough, lacking the sharp, well-defined negative peak and quick return to baseline expected of extracellular spikes. This morphology appears more like slow, multi-phase deflection than a clean biphasic/triphasic neuronal action potential, so the cluster is deemed non-neuronal regardless of ISI or aggregation patterns.",Phase1_Iter5
DISCARD,392,"VLM: The waveform overlay shows a highly multiphasic, oscillatory shape with more than three distinct phases, including a large positive peak followed by another substantial negative deflection, which is inconsistent with standard extracellular spike morphology. Although the ISI histogram has low refractory violations, the non-neuronal waveform shape warrants discarding this cluster.",Phase1_Iter5
KEEP,444,"VLM: Waveforms show a consistent, clean triphasic extracellular spike with stable baseline and no extra phases, indicating clear neuronal shape. The ISI histogram has very low refractory violations (~0.44%) and no bimodality, and the simple aggregation tree with only three closely related overclusters does not suggest multiple distinct units.",Phase1_Iter4
DISCARD,446,"VLM: Waveforms show a broad, nearly sinusoidal oscillation with multiple phases extending over ~1.5 ms, rather than a sharp biphasic/triphasic spike with rapid trough and smooth return to baseline. The morphology indicates non-neuronal or artifact activity despite a modest ISI violation rate, so this cluster should be discarded.",Phase1_Iter2
KEEP,353,"VLM: Waveforms show a consistent, sharp biphasic/triphasic extracellular spike shape with stable baseline and no extra phases or irregular bumps, indicating a clear neuronal unit. The vertical spread reflects amplitude variability but not distinct waveform families. The ISI histogram shows very low refractory violations (~0.69%) and no bimodal structure, so there is no strong evidence for multiple units requiring a split.",Phase1_Iter1
DISCARD,413,"VLM: The waveform overlay shows a broad, slowly varying deflection with a large DC offset (~+100 μV) and lacks a sharp, well-defined negative trough followed by a clean return to a near-zero baseline. The beginning and end of the waveforms are far from baseline and the morphology is more consistent with non-spike or artifact activity than a standard biphasic/triphasic extracellular action potential.",Phase1_Iter1
KEEP,443,"VLM: Waveforms show a consistent biphasic/triphasic extracellular spike shape with a sharp negative trough and smooth repolarization, and no extra phases or obvious non-neuronal morphology. The ISI histogram has low refractory violations (~1%) without a bimodal pattern, and the aggregation tree does not suggest clearly separable subclusters.",Phase1_Iter1
DISCARD,444,VLM: No compatible merge target (all returned NOT_MERGE),Phase2
MERGE,"353,31","VLM: Cluster 353 shows a consistent, clearly neuronal, triphasic waveform with a sharp negative trough and smooth repolarization. Its main negative peak timing, amplitude, and subsequent positive phase closely match cluster 31, and the merged ISI histogram shows very low refractory violations (~0.10%), supporting that they are likely the same unit.",Phase2
MERGE,"443,31","VLM: Cluster 443 waveforms show a clear, consistent biphasic/triphasic neuronal morphology with a sharp negative trough and smooth repolarization, so the small cluster is valid. Its waveform shape, timing, and amplitude profile closely match those of large cluster 31, suggesting the same unit with minor variability. The merged ISI histogram shows very low refractory violations (0.13%), supporting a merge decision.",Phase2
