Action,Cluster IDs,Reason,Phase
DISCARD,228,Event count is too low for individual clusters at end of hierarchical merging.,Phase0
DISCARD,232,Event count is too low for individual clusters at end of hierarchical merging.,Phase0
DISCARD,243,Event count is too low for individual clusters at end of hierarchical merging.,Phase0
DISCARD,282,Event count is too low for individual clusters at end of hierarchical merging.,Phase0
DISCARD,289,Event count is too low for individual clusters at end of hierarchical merging.,Phase0
DISCARD,296,Event count is too low for individual clusters at end of hierarchical merging.,Phase0
DISCARD,307,Event count is too low for individual clusters at end of hierarchical merging.,Phase0
DISCARD,315,Event count is too low for individual clusters at end of hierarchical merging.,Phase0
DISCARD,320,Event count is too low for individual clusters at end of hierarchical merging.,Phase0
DISCARD,321,Event count is too low for individual clusters at end of hierarchical merging.,Phase0
DISCARD,322,Event count is too low for individual clusters at end of hierarchical merging.,Phase0
DISCARD,323,Event count is too low for individual clusters at end of hierarchical merging.,Phase0
DISCARD,324,Event count is too low for individual clusters at end of hierarchical merging.,Phase0
DISCARD,329,Event count is too low for individual clusters at end of hierarchical merging.,Phase0
DISCARD,331,Event count is too low for individual clusters at end of hierarchical merging.,Phase0
DISCARD,333,Event count is too low for individual clusters at end of hierarchical merging.,Phase0
DISCARD,334,Event count is too low for individual clusters at end of hierarchical merging.,Phase0
DISCARD,335,Event count is too low for individual clusters at end of hierarchical merging.,Phase0
DISCARD,336,Event count is too low for individual clusters at end of hierarchical merging.,Phase0
DISCARD,337,Event count is too low for individual clusters at end of hierarchical merging.,Phase0
DISCARD,339,Event count is too low for individual clusters at end of hierarchical merging.,Phase0
DISCARD,340,Event count is too low for individual clusters at end of hierarchical merging.,Phase0
SPLIT,1,"VLM: The waveform overlay shows a valid neuronal shape (biphasic, sharp trough, smooth return to baseline), but there is substantial vertical spread, suggesting multiple waveform families. The ISI histogram shows a very high violation rate (24.45%), indicating multiple units are present. The aggregation tree confirms the cluster is composed of many subclusters, supporting the need for splitting. | last-merge split",Phase1_Iter1
SPLIT,1,"VLM: The waveform overlay shows a valid neuronal shape (biphasic/triphasic, sharp trough, smooth return to baseline), but there is substantial vertical spread indicating high variability. The ISI histogram shows a very high violation rate (24.12%), suggesting multiple units are present. The aggregation tree also indicates complex substructure, supporting the need to split this cluster into tighter subgroups. | last-merge split",Phase1_Iter2
SPLIT,1,"VLM: The waveform overlay shows a valid neuronal shape (biphasic/triphasic, sharp trough, smooth return to baseline), but there is substantial vertical spread indicating multiple waveform families. The ISI histogram shows a very high violation rate (24.07%), strongly suggesting multiple units are present. The aggregation tree confirms the presence of many subclusters. This cluster should be split to isolate cleaner single units. | last-merge split",Phase1_Iter3
SPLIT,1,"VLM: The waveform overlay shows a valid neuronal shape (biphasic/triphasic, sharp trough, smooth return to baseline), but there is substantial vertical spread indicating high variability. The ISI histogram shows a very high violation rate (23.97%), suggesting multiple units are present. The aggregation tree confirms the presence of many subclusters, so this cluster should be split to isolate cleaner single units. | last-merge split",Phase1_Iter4
