curated_id,matched_gt_id,agreement,n_curated_spikes,n_gt_spikes,tp,fp,fn,precision,recall,f1_score
1,2.0,0.08669301475011429,332472,28823,28823,303649,0,0.08669301475011429,1.0,0.15955382720491562
31,31.0,1.0,50821,50821,50821,0,0,1.0,1.0,1.0
211,,0.0,26939,0,0,26939,0,0.0,0.0,0.0
305,,0.0,12699,0,0,12699,0,0.0,0.0,0.0
344,,0.0,408,0,0,408,0,0.0,0.0,0.0
353,,0.0,1588,0,0,1588,0,0.0,0.0,0.0
355,,0.0,390,0,0,390,0,0.0,0.0,0.0
365,,0.0,364,0,0,364,0,0.0,0.0,0.0
397,,0.0,264,0,0,264,0,0.0,0.0,0.0
413,,0.0,1286,0,0,1286,0,0.0,0.0,0.0
414,,0.0,430,0,0,430,0,0.0,0.0,0.0
443,,0.0,652,0,0,652,0,0.0,0.0,0.0
456,,0.0,158,0,0,158,0,0.0,0.0,0.0
461,,0.0,256,0,0,256,0,0.0,0.0,0.0
463,,0.0,251,0,0,251,0,0.0,0.0,0.0
475,,0.0,178,0,0,178,0,0.0,0.0,0.0
476,,0.0,91,0,0,91,0,0.0,0.0,0.0
478,,0.0,76,0,0,76,0,0.0,0.0,0.0
