cluster_id,n_spikes,firing_rate,isi_violations_rate,isi_violations_count,presence_ratio,amplitude_median,amplitude_cv,amplitude_cutoff,snr
1,332472,32.080747857587845,0.25969783830770204,86342,1.0,87.61437272682733,0.25767451913073386,0.3097163069371257,3.3283785496033307
31,0,0.0,0.0,0,0.0,172.3425275310151,0.21031062111117077,0.5904252179217254,12.333618069184402
211,0,0.0,0.0,0,0.0,155.96097067995765,0.26314937496417423,0.3816400014848362,4.497683887609734
305,0,0.0,0.0,0,0.0,174.18134251703748,0.22868506948406755,0.2537995117725803,3.98606288204044
344,0,0.0,0.0,0,0.0,136.59684942320052,0.15707087268707837,0.28676470588235237,8.725678575174529
353,0,0.0,0.0,0,0.0,150.60674032136302,0.24368927430956075,0.258186397984887,5.9132117307296586
355,0,0.0,0.0,0,0.0,139.83422684334255,0.16609677452179172,0.5256410256410255,8.837312946676434
365,0,0.0,0.0,0,0.0,127.07193587504683,0.16438298788775366,0.321428571428571,7.680597453594995
397,0,0.0,0.0,0,0.0,118.38575130729404,0.18385129209588066,0.20075757575757483,7.042468939377141
413,0,0.0,0.0,0,0.0,198.0946934756773,0.22644776376965345,0.32348367029549036,5.177786743319804
414,0,0.0,0.0,0,0.0,195.8573650262681,0.17487815693648254,0.6279069767441845,7.5381079701137805
443,0,0.0,0.0,0,0.0,243.15077753314287,0.14981548775286474,0.38036809815951045,7.111785177488951
456,0,0.0,0.0,0,0.0,205.86315932361816,0.15838244298644052,0.14556962025316514,9.124669877138402
461,0,0.0,0.0,0,0.0,266.7172178766374,0.1359272509898248,0.16406249999999858,8.049161953677643
463,0,0.0,0.0,0,0.0,240.6165975804608,0.1601409408678321,0.40637450199203107,7.900336315942019
475,0,0.0,0.0,0,0.0,305.0105670998606,0.12636153659023208,0.3089887640449421,9.196172372967432
476,0,0.0,0.0,0,0.0,319.5213048410649,0.14760011632687306,0.5054945054945056,10.075992948084481
478,0,0.0,0.0,0,0.0,364.3514956696162,0.12717110586742572,0.21052631578947295,10.876722219247942
