Actions,Action Reasoning
's 1',"Cluster 1 has the potential to contain multiple embedded valid units within its components: within its aggregation tree, we see that there are many densely packed components that are each composed of numerous subclusters."
'm 0 176',"Cluster 176 has too many phases. Additionally, it has very few spikes and too much waveform variability."
's 1',"Cluster 1 has the potential to contain multiple embedded valid units within its components: within its aggregation tree, we see that there are many densely packed components that are each composed of numerous subclusters. This split may result in one such densely packed component being a valid unit."
'm 0 105',"Cluster 105 has too broad of a waveform to be derived from a single neuron. Additionally, it had an extremely high ISI violation proportion for the number of spikes contained within this cluster."
's 1',"Cluster 1 has the potential to contain multiple embedded valid units within its components: within its aggregation tree, we see that there are many densely packed components that are each composed of numerous subclusters."
'm 0 124',"Cluster 124 has too broad of a waveform to be derived from a valid single neuron. Additionally, it has too much waveform varaibility for how few spikes are contained within the cluster."
's 1',"Cluster 1 has the potential to contain multiple embedded valid units within its components: within its aggregation tree, we see that there are many densely packed components that are each composed of numerous subclusters."
's 1',"Cluster 1 has the potential to contain multiple embedded valid units within its components: within its aggregation tree, we see that there are many densely packed components that are each composed of numerous subclusters."
'm 0 115',Cluster 115 descends to the negative extrema too slowly to be a highly consistent signal from a single neuron.
's 1',"Cluster 1 has the potential to contain multiple embedded valid units within its components: within its aggregation tree, we see that there are many densely packed components that are each composed of numerous subclusters."
'm 0 70',Cluster has too much waveform varaibility for how few spikes are contained within this cluster.
's 1',"Cluster 1 has the potential to contain multiple embedded valid units within its components: within its aggregation tree, we see that there are many densely packed components that are each composed of numerous subclusters."
'm 0 55',"Cluster 55 has too broad of a waveform. Additionally, it has too much waveform variabilty with too few spikes to contain any valid waveforms within this cluster."
's 1',"Cluster 1 has the potential to contain multiple embedded valid units within its components: within its aggregation tree, we see that there are many densely packed components that are each composed of numerous subclusters."
'm 0 68',Cluster 68 descends to the negative extrema too slowly to be a highly consistent signal from a single neuron.
's 1',"Cluster 1 has the potential to contain multiple embedded valid units within its components: within its aggregation tree, we see that there are many densely packed components that are each composed of numerous subclusters."
'm 0 86',"Cluster 86 descends to the negative extrema too slowly to be a highly consistent signal from a single neuron, resulting in too broad of a waveform."
's 1',"Cluster 1 has the potential to contain multiple embedded valid units within its components: within its aggregation tree, we see that there are many densely packed components that are each composed of numerous subclusters. This split may result in one such densely packed component being a valid unit."
'm 0 54',"Cluster 54 has too broad of a waveform to be derived from a valid single neuron. Additionally, for how the number of spikes within this cluster, there are far too many ISI violations."
's 1',"Cluster 1 has the potential to contains a few embedded valid units within its components: within its aggregation tree, we see that there are a few densely packed components that are each composed of numerous subclusters. This split may result in one such densely packed component being a valid unit."
'm 0 38',Cluter 38 has too broad and variable of a waveform to be derived from a valid single neuron. The ISI violation proportion is also a bit too high for the number of spikes contained in this cluster to be justifiably a single unit.
's 1',"Cluster 1 has the potential to contain multiple embedded valid units within its components: within its aggregation tree, we see that there are a couple of densely packed components that are each composed of numerous subclusters."
'm 0 77',"Cluster 77 has too much variability at the end of its waveform. As such, combining it with other waveforms will compromise their variability at this sample window."
's 1',"Cluster 1 has the potential to contain multiple embedded valid units within its components: within its aggregation tree, we see that there are a couple of densely packed components that are each composed of numerous subclusters."
'm 0 32',"Cluster 32 has an unusual waveform shape at the window before descent to the negative extrema, thus including it in any other valid cluster will induce varaiblity and compromise any cluster is could be merged with."
's 1',"Cluster 1 has the potential to contain multiple embedded valid units within its components: within its aggregation tree, we see that there are a couple of densely packed components that are each composed of numerous subclusters."
'm 0 31',"Cluster 31 has too much waveform variability throughout, nor does it have a sufficient number of spikes to justify that it could have valid waveforms within the components of this cluster."
's 1',"Cluster 1 has the potential to contain multiple embedded valid units within its components: within its aggregation tree, we see that there are a couple of densely packed components that are each composed of numerous subclusters. This split may result in one such densely packed component being a valid unit."
's 1',"Cluster 1 seems to represent a decent single unit cluster. However, we want to ensure that its most superifical merges are with valid subcomponents."
'm 0 6',"Cluster 6 has a very distinct shape that contributes too much variability to its supercluster, Cluster 1. Additionally, it does not resemble other clusters."
's 1',"Cluster 1 seems to represent a decent single unit cluster. However, we want to ensure that its most superifical merges are with valid subcomponents."
'm 1 63',"Cluster 63 is sufficiently similar to its supercluster, Cluster 1. As such, it will be included within Cluster 1."
'm 1 107',Cluster 107 is sufficiently similar to Cluster 1 to be included. The increase in ISI violations is negligible.
's 5',"Cluster 5 has the potential to contain multiple embedded valid units within its components: within its aggregation tree, we see that there are a couple of densely packed components that are each composed of numerous subclusters."
'm 0 20',"Cluster 20 has too much waveform variability. Additionally, the mean waveform has too many phases to represent valid single unit acitivity. Furthermore, it has very few spikes to garner this much waveform varaibility to represent any cohesive signal."
's 5',"Cluster 5 has the potential to contain multiple embedded valid units within its components: within its aggregation tree, we see that there are a couple of densely packed components that are each composed of numerous subclusters."
'm 0 22',"Cluster 22 has too much waveform variability. Additionally, the descent to the negative extrema is too slow to be a valid biologicla signal. Furthermore, it has very few spikes to garner this much waveform varaibility to represent any cohesive signal."
's 5',"Cluster 5 has the potential to contain multiple embedded valid units within its components: within its aggregation tree, we see that there are a couple of densely packed components that are each composed of numerous subclusters."
'm 0 24',"Cluster 24 has too much waveform variability. Additionally, the descent to the negative extrema is too slow to be a valid biologicla signal. Furthermore, it has very few spikes to garner this much waveform varaibility to represent any cohesive signal."
