Actions,Action Reasoning
m 0 161',Cluster 161 event count is too low for individual clusters at end of hierarchical merging.'
m 0 311',Cluster 311 event count is too low for individual clusters at end of hierarchical merging.'
m 0 317',Cluster 317 event count is too low for individual clusters at end of hierarchical merging.'
m 0 321',Cluster 321 event count is too low for individual clusters at end of hierarchical merging.'
m 0 322',Cluster 322 event count is too low for individual clusters at end of hierarchical merging.'
m 0 324',Cluster 324 event count is too low for individual clusters at end of hierarchical merging.'
m 0 334',Cluster 334 event count is too low for individual clusters at end of hierarchical merging.'
m 0 339',Cluster 339 event count is too low for individual clusters at end of hierarchical merging.'
m 0 340',Cluster 340 event count is too low for individual clusters at end of hierarchical merging.'
m 0 342',Cluster 342 event count is too low for individual clusters at end of hierarchical merging.'
m 0 347',Cluster 347 event count is too low for individual clusters at end of hierarchical merging.'
m 0 350',Cluster 350 event count is too low for individual clusters at end of hierarchical merging.'
m 0 355',Cluster 355 event count is too low for individual clusters at end of hierarchical merging.'
m 0 13',Cluster 13 has too broad of a depolarization phase. Cluster 13 waveform begins too high and with too much variability.'
'm 0 242',Cluster 242 has too broad of a waveform with too few spikes.'
s 1','Cluster 1 waveforms have too much variability throughout; Cluster 1 waveforms contain multiple families of spikes down the hierarchy.'
m 0 86',Cluster 86 has too broad of a waveform with too few spikes.'
s 1','Cluster 1 waveforms have too much variability throughout; Cluster 1 waveforms contain multiple families of spikes down the hierarchy.'
s 1','Cluster 1 waveforms have too much variability throughout; Cluster 1 waveforms contain multiple families of spikes down the hierarchy.'
s 1','Cluster 1 waveforms have too much variability throughout; Cluster 1 waveforms contain multiple families of spikes down the hierarchy.'
m 0 122',"Cluster 122 is too variable, has too few events, and has too broad of positive activity prior to the depolarization event.'"
m 0 138',Cluster 138 has too broad of a waveform.'
m 0 222',Cluster 222 is multiphasic and too variable'
s 1','Cluster 1 waveforms have too much variability throughout; Cluster 1 waveforms contain multiple families of spikes down the hierarchy.'
s 1','Cluster 1 waveforms have too much variability throughout; Cluster 1 waveforms contain multiple families of spikes down the hierarchy.'
s 1','Cluster 1 waveforms have too much variability throughout; Cluster 1 waveforms contain multiple families of spikes down the hierarchy.'
s 1','Cluster 1 waveforms have too much variability throughout; Cluster 1 waveforms contain multiple families of spikes down the hierarchy.'
m 0 119',Cluster 119 waveform is too broad and has too few events'
m 0 4',Cluster 4 has too broad of a waveform with too shallow of a depolarization; Cluster 4 interspike interval has too many physiological violations without enough distinct families down the hierarchy.'
m 0 139',Cluster 139 has too much variability with too few waveforms; Initial waveform variability is too high.'
m 0 148',Cluster 148 has too much variability with too few waveforms.'
s 1','Cluster 1 waveforms have too much variability throughout; Cluster 1 waveforms contain multiple families of spikes down the hierarchy.'
s 1','Cluster 1 waveforms have too much variability throughout; Cluster 1 waveforms contain multiple families of spikes down the hierarchy.'
s 1','Cluster 1 waveforms have too much variability throughout; Cluster 1 waveforms contain multiple families of spikes down the hierarchy.'
s 1','Cluster 1 waveforms have too much variability throughout; Cluster 1 waveforms contain multiple families of spikes down the hierarchy.'
m 0 61',Cluster 61 has too few events and does not resemble other clusters.'
m 0 108',Cluster 108 has too few events and does not resemble other clusters.'
m 0 198',Cluster 198 has too few events and does not resemble other clusters.'
s 1','Cluster 1 waveforms have too much variability throughout; Cluster 1 waveforms contain multiple families of spikes down the hierarchy.'
s 1','Cluster 1 waveforms have too much variability throughout; Cluster 1 waveforms contain multiple families of spikes down the hierarchy.'
m 0 6',Cluster 6 waveforms are monophasic.'
s 1','Cluster 1 waveforms have too much variability throughout; Cluster 1 waveforms contain multiple families of spikes down the hierarchy.'
s 1','Cluster 1 waveforms have too much variability throughout; Cluster 1 waveforms contain multiple families of spikes down the hierarchy.'
m 0 9',Cluster 9 has too much variability with too few spikes.'
s 1',Cluster 1 has too much variability in repolarization phase.'
s 1',Cluster 1 has too much variability in repolarization phase.'
m 0 11',Cluster 11 has too few waveforms and does not resemble other clusters.'
m 0 47',Cluster 47 has too few waveforms and does not resemble other clusters.'
s 1',Cluster 1 has too much variability in repolarization phase.'
m 0 37',Cluster 37 has too few waveforms and does not resemble other clusters.'
s 1',Cluster 1 has too much variability in repolarization phase.'
m 0 24',Cluster 24 has too few spikes and does not resemble other clusters sufficiently.'
m 0 39',Cluster 39 has too few spikes and does not resemble other clusters sufficiently.'
m 0 30',Cluster 30 has too few spikes and does not resemble other clusters sufficiently.'
