curated_id,matched_gt_id,agreement,n_curated_spikes,n_gt_spikes,tp,fp,fn,precision,recall,f1_score
1,1.0,0.2233714389403012,82665,18465,18465,64200,0,0.2233714389403012,1.0,0.3651735390091961
160,,0.0,495,0,0,495,0,0.0,0.0,0.0
172,,0.0,243,0,0,243,0,0.0,0.0,0.0
179,,0.0,138,0,0,138,0,0.0,0.0,0.0
183,,0.0,102,0,0,102,0,0.0,0.0,0.0
188,,0.0,154,0,0,154,0,0.0,0.0,0.0
191,,0.0,80,0,0,80,0,0.0,0.0,0.0
192,,0.0,79,0,0,79,0,0.0,0.0,0.0
193,,0.0,69,0,0,69,0,0.0,0.0,0.0
194,,0.0,67,0,0,67,0,0.0,0.0,0.0
198,,0.0,53,0,0,53,0,0.0,0.0,0.0
199,,0.0,52,0,0,52,0,0.0,0.0,0.0
