cluster_id,n_spikes,firing_rate,isi_violations_rate,isi_violations_count,presence_ratio,amplitude_median,amplitude_cv,amplitude_cutoff,snr
1,82665,11.12493766376614,0.16060195490177104,13276,1.0,57.71904973450903,0.2593758109824915,0.3163128288876793,3.4364122769801675
160,0,0.0,0.0,0,0.0,86.30186174436031,0.2085068871304021,0.23838383838383778,4.264108802059997
172,0,0.0,0.0,0,0.0,115.3852613192739,0.17081662195092787,0.23456790123456772,8.081832485988084
179,0,0.0,0.0,0,0.0,119.09366759822075,0.14478128346268548,0.07246376811594274,10.390242029644739
183,0,0.0,0.0,0,0.0,110.8229742818124,0.13547095157913389,0.058823529411765746,8.886913404165728
188,0,0.0,0.0,0,0.0,139.17434775217322,0.14581147608782105,0.2792207792207814,7.626702898822343
191,0,0.0,0.0,0,0.0,114.61471527664874,0.1641794388247161,0.46249999999999614,8.625687115084826
192,0,0.0,0.0,0,0.0,120.99996372734577,0.15041716535169594,0.27848101265823166,8.787246190778761
193,0,0.0,0.0,0,0.0,142.0287335179361,0.1313946792629278,0.2463768115942067,8.97627465581582
194,0,0.0,0.0,0,0.0,115.83981301594454,0.18023568559444342,0.5373134328358193,7.52288044702369
198,0,0.0,0.0,0,0.0,170.6619828972324,0.1539683571778403,0.018867924528302667,10.444956779973268
199,0,0.0,0.0,0,0.0,151.64036800941759,0.13920882083392408,0.1730769230769215,9.805434553233994
