call_id,timestamp,base_prefix,unique_prefix,prompt_file,image_files,phase,cluster_id,n_spikes
1,2025-11-30_21-00-46,phase1_cluster_1,phase1_cluster_1_call00001,phase1_cluster_1_call00001_prompt.txt,phase1_cluster_1_call00001_waveform_overlay.png;phase1_cluster_1_call00001_isi_histogram.png;phase1_cluster_1_call00001_aggregation_tree.png,1,1,82665
1,2025-11-30_21-41-28,phase1_cluster_1,phase1_cluster_1_call00001,phase1_cluster_1_call00001_prompt.txt,phase1_cluster_1_call00001_waveform_overlay.png;phase1_cluster_1_call00001_isi_histogram.png;phase1_cluster_1_call00001_aggregation_tree.png,1,1,82665
2,2025-11-30_21-41-46,phase1_cluster_1,phase1_cluster_1_call00002,phase1_cluster_1_call00002_prompt.txt,phase1_cluster_1_call00002_waveform_overlay.png;phase1_cluster_1_call00002_isi_histogram.png;phase1_cluster_1_call00002_aggregation_tree.png,1,1,82520
3,2025-11-30_21-41-58,phase1_cluster_176,phase1_cluster_176_call00003,phase1_cluster_176_call00003_prompt.txt,phase1_cluster_176_call00003_waveform_overlay.png;phase1_cluster_176_call00003_isi_histogram.png;phase1_cluster_176_call00003_aggregation_tree.png,1,176,145
1,2025-11-30_21-58-03,phase1_cluster_1,phase1_cluster_1_call00001,phase1_cluster_1_call00001_prompt.txt,phase1_cluster_1_call00001_waveform_overlay.png;phase1_cluster_1_call00001_isi_histogram.png;phase1_cluster_1_call00001_aggregation_tree.png,1,1,82665
2,2025-11-30_21-58-27,phase1_cluster_1,phase1_cluster_1_call00002,phase1_cluster_1_call00002_prompt.txt,phase1_cluster_1_call00002_waveform_overlay.png;phase1_cluster_1_call00002_isi_histogram.png;phase1_cluster_1_call00002_aggregation_tree.png,1,1,82520
3,2025-11-30_21-58-42,phase1_cluster_1,phase1_cluster_1_call00003,phase1_cluster_1_call00003_prompt.txt,phase1_cluster_1_call00003_waveform_overlay.png;phase1_cluster_1_call00003_isi_histogram.png;phase1_cluster_1_call00003_aggregation_tree.png,1,1,70787
4,2025-11-30_21-58-57,phase1_cluster_1,phase1_cluster_1_call00004,phase1_cluster_1_call00004_prompt.txt,phase1_cluster_1_call00004_waveform_overlay.png;phase1_cluster_1_call00004_isi_histogram.png;phase1_cluster_1_call00004_aggregation_tree.png,1,1,69194
5,2025-11-30_21-59-08,phase1_cluster_1,phase1_cluster_1_call00005,phase1_cluster_1_call00005_prompt.txt,phase1_cluster_1_call00005_waveform_overlay.png;phase1_cluster_1_call00005_isi_histogram.png;phase1_cluster_1_call00005_aggregation_tree.png,1,1,68586
6,2025-11-30_21-59-20,phase1_cluster_1,phase1_cluster_1_call00006,phase1_cluster_1_call00006_prompt.txt,phase1_cluster_1_call00006_waveform_overlay.png;phase1_cluster_1_call00006_isi_histogram.png;phase1_cluster_1_call00006_aggregation_tree.png,1,1,67759
7,2025-11-30_21-59-29,phase1_cluster_1,phase1_cluster_1_call00007,phase1_cluster_1_call00007_prompt.txt,phase1_cluster_1_call00007_waveform_overlay.png;phase1_cluster_1_call00007_isi_histogram.png;phase1_cluster_1_call00007_aggregation_tree.png,1,1,67249
