Action,Cluster IDs,Reason,Phase
DISCARD,228,Event count is too low for individual clusters at end of hierarchical merging.,Phase0
DISCARD,232,Event count is too low for individual clusters at end of hierarchical merging.,Phase0
DISCARD,243,Event count is too low for individual clusters at end of hierarchical merging.,Phase0
DISCARD,282,Event count is too low for individual clusters at end of hierarchical merging.,Phase0
DISCARD,289,Event count is too low for individual clusters at end of hierarchical merging.,Phase0
DISCARD,296,Event count is too low for individual clusters at end of hierarchical merging.,Phase0
DISCARD,307,Event count is too low for individual clusters at end of hierarchical merging.,Phase0
DISCARD,315,Event count is too low for individual clusters at end of hierarchical merging.,Phase0
DISCARD,320,Event count is too low for individual clusters at end of hierarchical merging.,Phase0
DISCARD,321,Event count is too low for individual clusters at end of hierarchical merging.,Phase0
DISCARD,322,Event count is too low for individual clusters at end of hierarchical merging.,Phase0
DISCARD,323,Event count is too low for individual clusters at end of hierarchical merging.,Phase0
DISCARD,324,Event count is too low for individual clusters at end of hierarchical merging.,Phase0
DISCARD,329,Event count is too low for individual clusters at end of hierarchical merging.,Phase0
DISCARD,331,Event count is too low for individual clusters at end of hierarchical merging.,Phase0
DISCARD,333,Event count is too low for individual clusters at end of hierarchical merging.,Phase0
DISCARD,334,Event count is too low for individual clusters at end of hierarchical merging.,Phase0
DISCARD,335,Event count is too low for individual clusters at end of hierarchical merging.,Phase0
DISCARD,336,Event count is too low for individual clusters at end of hierarchical merging.,Phase0
DISCARD,337,Event count is too low for individual clusters at end of hierarchical merging.,Phase0
DISCARD,339,Event count is too low for individual clusters at end of hierarchical merging.,Phase0
DISCARD,340,Event count is too low for individual clusters at end of hierarchical merging.,Phase0
SPLIT,1,"VLM: The waveform overlay shows a clean, stereotyped biphasic extracellular spike with stable baseline, indicating neuronal shape. However, the ISI histogram has a very high refractory violation rate (~24%) and suggests multiple units, and the large number of overclusters (266) implies substantial substructure, so this cluster should be split into tighter subgroups. | last-merge split",Phase1_Iter1
SPLIT,1,"VLM: Waveforms show a consistent, biphasic extracellular spike shape without extra phases, so the cluster is neuronal. However, the ISI histogram shows heavy refractory violations (~24%) and the unit is composed of many overclusters, indicating multiple units are merged and should be split into tighter subclusters. | last-merge split",Phase1_Iter2
SPLIT,1,"VLM: Waveforms show a consistent, sharp negative trough with smooth repolarization, consistent with a valid extracellular neuronal spike shape. However, the cluster has a very high refractory-period violation rate (~24%) and is composed of many overclusters, indicating multiple units are merged and should be split into tighter subclusters. | last-merge split",Phase1_Iter3
SPLIT,1,"VLM: Waveforms show a clear neuronal, predominantly biphasic extracellular spike shape with stable baseline, so the cluster is neuronal. However, the very high ISI violation rate (~24%) and complex aggregation of 261 overclusters suggest multiple units are combined, so this cluster should be split into tighter subgroups. | last-merge split",Phase1_Iter4
SPLIT,1,"VLM: The waveforms show a clear, sharp negative trough with smooth return to baseline, consistent with a valid extracellular neuronal spike shape. However, the cluster has very high ISI violations (~18%) and is composed of many overclusters, indicating multiple units are likely merged and should be separated into tighter subgroups. | last-merge split",Phase1_Iter5
