call_id,timestamp,base_prefix,unique_prefix,prompt_file,image_files
1,2025-11-30_18-51-30,phase1_cluster_1,phase1_cluster_1_call00001,phase1_cluster_1_call00001_prompt.txt,phase1_cluster_1_call00001_waveform.png;phase1_cluster_1_call00001_isi.png;phase1_cluster_1_call00001_tree.png
2,2025-11-30_18-51-40,phase1_cluster_1,phase1_cluster_1_call00002,phase1_cluster_1_call00002_prompt.txt,phase1_cluster_1_call00002_waveform.png;phase1_cluster_1_call00002_isi.png;phase1_cluster_1_call00002_tree.png
3,2025-11-30_18-51-46,phase1_cluster_1,phase1_cluster_1_call00003,phase1_cluster_1_call00003_prompt.txt,phase1_cluster_1_call00003_waveform.png;phase1_cluster_1_call00003_isi.png;phase1_cluster_1_call00003_tree.png
4,2025-11-30_18-51-58,phase1_cluster_1,phase1_cluster_1_call00004,phase1_cluster_1_call00004_prompt.txt,phase1_cluster_1_call00004_waveform.png;phase1_cluster_1_call00004_isi.png;phase1_cluster_1_call00004_tree.png
5,2025-11-30_18-52-04,phase1_cluster_1,phase1_cluster_1_call00005,phase1_cluster_1_call00005_prompt.txt,phase1_cluster_1_call00005_waveform.png;phase1_cluster_1_call00005_isi.png;phase1_cluster_1_call00005_tree.png
6,2025-11-30_18-52-10,phase1_cluster_1,phase1_cluster_1_call00006,phase1_cluster_1_call00006_prompt.txt,phase1_cluster_1_call00006_waveform.png;phase1_cluster_1_call00006_isi.png;phase1_cluster_1_call00006_tree.png
7,2025-11-30_18-52-19,phase1_cluster_1,phase1_cluster_1_call00007,phase1_cluster_1_call00007_prompt.txt,phase1_cluster_1_call00007_waveform.png;phase1_cluster_1_call00007_isi.png;phase1_cluster_1_call00007_tree.png
8,2025-11-30_18-52-30,phase1_cluster_1,phase1_cluster_1_call00008,phase1_cluster_1_call00008_prompt.txt,phase1_cluster_1_call00008_waveform.png;phase1_cluster_1_call00008_isi.png;phase1_cluster_1_call00008_tree.png
9,2025-11-30_18-52-36,phase1_cluster_1,phase1_cluster_1_call00009,phase1_cluster_1_call00009_prompt.txt,phase1_cluster_1_call00009_waveform.png;phase1_cluster_1_call00009_isi.png;phase1_cluster_1_call00009_tree.png
10,2025-11-30_18-52-42,phase1_cluster_1,phase1_cluster_1_call00010,phase1_cluster_1_call00010_prompt.txt,phase1_cluster_1_call00010_waveform.png;phase1_cluster_1_call00010_isi.png;phase1_cluster_1_call00010_tree.png
11,2025-11-30_18-52-47,phase1_cluster_1,phase1_cluster_1_call00011,phase1_cluster_1_call00011_prompt.txt,phase1_cluster_1_call00011_waveform.png;phase1_cluster_1_call00011_isi.png;phase1_cluster_1_call00011_tree.png
12,2025-11-30_18-52-54,phase1_cluster_1,phase1_cluster_1_call00012,phase1_cluster_1_call00012_prompt.txt,phase1_cluster_1_call00012_waveform.png;phase1_cluster_1_call00012_isi.png;phase1_cluster_1_call00012_tree.png
13,2025-11-30_18-53-00,phase1_cluster_1,phase1_cluster_1_call00013,phase1_cluster_1_call00013_prompt.txt,phase1_cluster_1_call00013_waveform.png;phase1_cluster_1_call00013_isi.png;phase1_cluster_1_call00013_tree.png
14,2025-11-30_18-53-07,phase1_cluster_1,phase1_cluster_1_call00014,phase1_cluster_1_call00014_prompt.txt,phase1_cluster_1_call00014_waveform.png;phase1_cluster_1_call00014_isi.png;phase1_cluster_1_call00014_tree.png
15,2025-11-30_18-53-17,phase1_cluster_1,phase1_cluster_1_call00015,phase1_cluster_1_call00015_prompt.txt,phase1_cluster_1_call00015_waveform.png;phase1_cluster_1_call00015_isi.png;phase1_cluster_1_call00015_tree.png
16,2025-11-30_18-53-25,phase1_cluster_1,phase1_cluster_1_call00016,phase1_cluster_1_call00016_prompt.txt,phase1_cluster_1_call00016_waveform.png;phase1_cluster_1_call00016_isi.png;phase1_cluster_1_call00016_tree.png
17,2025-11-30_18-53-33,phase1_cluster_4,phase1_cluster_4_call00017,phase1_cluster_4_call00017_prompt.txt,phase1_cluster_4_call00017_waveform.png;phase1_cluster_4_call00017_isi.png;phase1_cluster_4_call00017_tree.png
18,2025-11-30_18-53-43,phase1_cluster_4,phase1_cluster_4_call00018,phase1_cluster_4_call00018_prompt.txt,phase1_cluster_4_call00018_waveform.png;phase1_cluster_4_call00018_isi.png;phase1_cluster_4_call00018_tree.png
