Action,Cluster IDs,Reason,Phase
DISCARD,228,Event count is too low for individual clusters at end of hierarchical merging.,Phase0
DISCARD,232,Event count is too low for individual clusters at end of hierarchical merging.,Phase0
DISCARD,243,Event count is too low for individual clusters at end of hierarchical merging.,Phase0
DISCARD,282,Event count is too low for individual clusters at end of hierarchical merging.,Phase0
DISCARD,289,Event count is too low for individual clusters at end of hierarchical merging.,Phase0
DISCARD,296,Event count is too low for individual clusters at end of hierarchical merging.,Phase0
DISCARD,307,Event count is too low for individual clusters at end of hierarchical merging.,Phase0
DISCARD,315,Event count is too low for individual clusters at end of hierarchical merging.,Phase0
DISCARD,320,Event count is too low for individual clusters at end of hierarchical merging.,Phase0
DISCARD,321,Event count is too low for individual clusters at end of hierarchical merging.,Phase0
DISCARD,322,Event count is too low for individual clusters at end of hierarchical merging.,Phase0
DISCARD,323,Event count is too low for individual clusters at end of hierarchical merging.,Phase0
DISCARD,324,Event count is too low for individual clusters at end of hierarchical merging.,Phase0
DISCARD,329,Event count is too low for individual clusters at end of hierarchical merging.,Phase0
DISCARD,331,Event count is too low for individual clusters at end of hierarchical merging.,Phase0
DISCARD,333,Event count is too low for individual clusters at end of hierarchical merging.,Phase0
DISCARD,334,Event count is too low for individual clusters at end of hierarchical merging.,Phase0
DISCARD,335,Event count is too low for individual clusters at end of hierarchical merging.,Phase0
DISCARD,336,Event count is too low for individual clusters at end of hierarchical merging.,Phase0
DISCARD,337,Event count is too low for individual clusters at end of hierarchical merging.,Phase0
DISCARD,339,Event count is too low for individual clusters at end of hierarchical merging.,Phase0
DISCARD,340,Event count is too low for individual clusters at end of hierarchical merging.,Phase0
SPLIT,1,"VLM: Waveforms show a consistent, smooth biphasic/triphasic extracellular spike shape with a sharp negative trough and smooth repolarization, indicating clear neuronal morphology. However, the ISI histogram shows a very high fraction of refractory violations (~24%) suggestive of multiple units, and the large spike count with many overclusters in the hierarchical tree further supports that this aggregate cluster should be split into tighter subclusters. | last-merge split",Phase1_Iter1
SPLIT,1,"VLM: The waveform overlay shows a consistent, sharp biphasic/triphasic extracellular spike with stable baseline, indicating clear neuronal morphology. However, the ISI histogram has a very high fraction of refractory period violations (~24%) and the aggregation tree contains many subclusters, suggesting that multiple units or noise are merged, so this cluster should be split. | last-merge split",Phase1_Iter2
SPLIT,1,"VLM: Waveforms show a consistent extracellular spike shape with a sharp negative trough and smooth repolarization, indicating neuronal activity despite amplitude variability from the large cluster size. However, the ISI histogram shows heavy refractory violations (~24% < 2 ms) and a dense short-interval peak, suggesting multiple units are merged. Combined with the many overclusters in the aggregation tree, this cluster should be split into tighter subgroups. | last-merge split",Phase1_Iter3
SPLIT,1,"VLM: Waveforms show a consistent, sharp negative trough with a smooth return toward baseline, consistent with a valid neuronal extracellular spike shape. However, the ISI histogram exhibits a very high fraction of refractory violations (~24%), and the large spike count with many overclusters in the aggregation tree suggests multiple units are mixed, so this cluster should be split into tighter subclusters. | last-merge split",Phase1_Iter4
SPLIT,1,"VLM: Waveforms show a clean, consistent biphasic neuronal shape with a sharp negative trough and smooth repolarization, so the cluster is neuronal. However, the ISI histogram shows a very high rate of refractory period violations (~18%), indicating multiple units, and the large spike count with many overclusters suggests embedded subclusters that should be separated. | last-merge split",Phase1_Iter5
